Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Latitude,Longitude,Elevation,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km,Region,Subregion,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5
241120,Rumble IV,Stratovolcano,Unknown,New Zealand,-36.13,178.05,-500,0,0,0,0,New Zealand to Fiji,New Zealand,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene,Andesite / Basaltic Andesite, , , , , , , , , 
241110,Rumble V,Stratovolcano,Unknown,New Zealand,-36.142,178.196,-400,0,0,0,0,New Zealand to Fiji,New Zealand,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene,Andesite / Basaltic Andesite, , , , , , , , , 
222166,Rungwe,Stratovolcano,1250,Tanzania,-9.135,33.668,2953,644,20713,393819,2299914,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),Eruption Dated,Trachyte / Trachydacite,Phonolite,Basalt / Picro-Basalt, , , , , , , 
290021,Ruruidake [Smirnov],Stratovolcano,Unknown,Japan - administered by Russia,44.454,146.139,1486,0,108,903,16132,Kuril Islands,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
360010,Saba,Stratovolcano,1640,Netherlands,17.63,-63.23,887,1718,1718,1752,136185,West Indies,West Indies,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , 
354006,Sabancaya,Stratovolcano(es),2024,Peru,-15.787,-71.857,5960,51,526,12678,1052517,South America,Peru,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
355091,Sairecabur,Stratovolcano(es),Unknown,Chile-Bolivia,-22.719,-67.891,5961,21,69,1721,11172,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
251080,Sakar,Stratovolcano,Unknown,Papua New Guinea,-5.414,148.094,992,149,160,1176,58544,Melanesia and Australia,Northeast of New Guinea,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , 
263050,Salak,Stratovolcano,1938,Indonesia,-6.716,106.733,2218,1367,80578,2675904,38154252,Indonesia,Java,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , 
323200,Salton Buttes,Lava dome(s),210,United States,33.197,-115.616,-40,227,408,38579,1214088,Canada and Western USA,USA (California),Rift zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , , , , , , 
214050,Samsari Volcanic Center,Volcanic field,Unknown,Georgia,41.542,43.7,3290,13210,13210,86563,1467499,Mediterranean and Western Asia,Western Asia,Intraplate / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , 
341007,San Borja Volcanic Field,Volcanic field,Unknown,Mexico,28.5,-113.75,1360,722,722,2558,45359,México and Central America,Mexico,Rift zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , ,Basalt / Picro-Basalt, , , , 
224002,San Carlos,Shield,Unknown,Equatorial Guinea,3.35,8.52,2260,0,428,15688,142724,Africa and Red Sea,Africa (western),Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , 
344020,San Cristobal,Stratovolcano,2023,Nicaragua,12.702,-87.004,1745,208,7876,351227,2002579,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , 
353120,San Cristobal,Shield,Unknown,Ecuador,-0.88,-89.5,759,7661,7661,7723,16189,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt, , , , ,Trachybasalt / Tephrite Basanite, , , , 
343001,San Diego,Volcanic field,Unknown,El Salvador-Guatemala,14.27,-89.48,781,130144,130144,316296,7169826,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , 
329020,San Francisco Volcanic Field,Volcanic field,1075,United States,35.347,-111.678,3850,23157,23157,70472,190983,Canada and Western USA,USA (Arizona),Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Dacite,Rhyolite, , , , , 
224003,San Joaquin,Shield,Unknown,Equatorial Guinea,3.35,8.63,2009,706,1432,16190,349646,Africa and Red Sea,Africa (western),Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , 
357020,San Jose,Stratovolcano(es),1960,Chile-Argentina,-33.789,-69.895,6070,194,616,15963,6615248,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , 
