Volcano Number,Eruption Number,Volcano Name,Area of Activity,VEI,Start Date,days,End Date,Eruption Category,Evidence Method (dating),Latitude,Longitude
353020,21075,Wolf,"a fissure on the SE edge of the caldera, on the NE, E, and SE flanks, and within the summit caldera",4,2015-05-25,52,2015-07-16,Confirmed Eruption,Observations: Reported,0.02,-91.35
272020,16638,Kanlaon,,2,2006-06-03,52,2006-07-25,Confirmed Eruption,Observations: Reported,10.412,123.132
261030,15394,Peuet Sague,,1,1999-03-09,52,1999-04-30,Confirmed Eruption,Observations: Reported,4.903,96.289
223020,14077,Nyamulagira,West flank (Kimera) and summit,2,1994-07-04,52,1994-08-25,Confirmed Eruption,Observations: Reported,-1.408,29.2
353080,11730,Marchena,West to SW caldera rim,2,1991-09-25,52,1991-11-16,Confirmed Eruption,Observations: Reported,0.33,-90.47
241100,14651,Ruapehu,,1,1984-10-25,52,1984-12-16,Confirmed Eruption,Observations: Reported,-39.28,175.57
222120,14016,"Lengai, Ol Doinyo",North Crater,2,1954-07-26,52,1954-09-16,Confirmed Eruption,Observations: Reported,-2.764,35.914
264150,16266,Paluweh,Rokatenda,3,1928-08-04,52,1928-09-25,Confirmed Eruption,Observations: Reported,-8.32,121.708
266030,13593,Soputan,NE flank (Aeseput),2,1923-11-27,52,1924-01-18,Confirmed Eruption,Observations: Reported,1.112,124.737
211060,13770,Etna,Central Crater,2,1910-12-27,52,1911-02-17,Confirmed Eruption,Observations: Reported,37.748,14.999
233020,14247,"Fournaise, Piton de la","Dolomieu, Mamelon Central ?",2,1791-06-05,52,1791-07-27,Confirmed Eruption,Observations: Reported,-21.244,55.708
231070,14154,"Rahat, Harrat",Fissure 20 km SE of Madinah,3,1256-06-05,52,1256-07-27,Confirmed Eruption,Observations: Reported,23.08,39.78
263090,22325,Tangkuban Parahu,,1,2019-07-26,53,2019-09-17,Confirmed Eruption,Observations: Reported,-6.77,107.6
311060,22289,Semisopochnoi,,1,2018-09-08,53,2018-10-31,Confirmed Eruption,Observations: Reported,51.93,179.58
221020,21068,Zubair Group,Jadid Island,2,2013-09-28,53,2013-11-20,Confirmed Eruption,Observations: Reported,15.05,42.18
223020,14082,Nyamulagira,"Summit caldera, north & south flanks",2,2002-07-25,53,2002-09-16,Confirmed Eruption,Observations: Reported,-1.408,29.2
261140,15478,Marapi,Verbeek Crater,2,2001-04-13,53,2001-06-05,Confirmed Eruption,Observations: Reported,-0.38,100.474
264220,16326,Iliboleng,,1,1991-05-08,53,1991-06-30,Confirmed Eruption,Observations: Reported,-8.342,123.258
372070,12753,Hekla,"Summit, SW, SE & NE flank fissures",3,1991-01-17,53,1991-03-11,Confirmed Eruption,Observations: Reported,63.983,-19.666
358020,12262,Calbuco,,3,1961-02-01,53,1961-03-26,Confirmed Eruption,Observations: Reported,-41.33,-72.618
263180,13399,Slamet,,2,1958-09-13,53,1958-11-05,Confirmed Eruption,Observations: Reported,-7.242,109.208
311290,19841,Okmok,Cone A?,2,1931-03-21,53,1931-05-13,Confirmed Eruption,Observations: Reported,53.43,-168.13
263180,15744,Slamet,,2,1928-03-20,53,1928-05-12,Confirmed Eruption,Observations: Reported,-7.242,109.208
284010,18213,Izu-Oshima,Mihara-yama,1,1922-12-08,53,1923-01-30,Confirmed Eruption,Observations: Reported,34.724,139.394
342090,10714,Fuego,,4,1880-06-28,53,1880-08-20,Confirmed Eruption,Observations: Reported,14.473,-90.88
233020,14271,"Fournaise, Piton de la",Summit and Piton de Crac,2,1844-03-19,53,1844-05-11,Confirmed Eruption,Observations: Reported,-21.244,55.708
268060,21087,Gamalama,Summit crater,2,2015-07-16,54,2015-09-08,Confirmed Eruption,Observations: Reported,0.8,127.33
357120,12183,Villarrica,,1,2009-01-29,54,2009-03-24,Confirmed Eruption,Observations: Reported,-39.42,-71.93
285050,18661,Tokachidake,1962-II Crater,1,2004-02-25,54,2004-04-19,Confirmed Eruption,Observations: Reported,43.418,142.686
384010,13137,Fogo,WSW flank of Pico,2,1995-04-02,54,1995-05-26,Confirmed Eruption,Observations: Reported,14.95,-24.35
263180,13403,Slamet,,2,1969-06-23,54,1969-08-16,Confirmed Eruption,Observations: Reported,-7.242,109.208
