Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Total Deaths,Total Injuries,Total Houses Destroyed
1872,4,15,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,30,,50
1872,4,17,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,170,,
1872,4,24,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,9,11,
1872,11,3,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,200,,
1872,12,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,3,4,,
1873,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,,9,,
1874,7,3,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,3,1,,45
1875,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,1500,,
1877,6,25,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,4,340,,
1878,1,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3,1,,
1883,8,27,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,6,36417,,
1883,10,6,Augustine,Alaska-SW,United States,59.363,-153.43,1252,Lava dome,4,8,,
1885,4,18,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,74,,
1886,1,11,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,2,,
1886,6,10,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,2,153,,
1887,3,9,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,15,,
1888,7,15,Bandaisan,Honshu-Japan,Japan,37.601,140.072,1816,Stratovolcano,4,461,70,
1892,5,21,Sorikmarapi,Sumatra,Indonesia,0.686,99.539,2145,Stratovolcano,2,180,,
1892,6,7,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,1532,,
1893,6,7,Azumayama,Honshu-Japan,Japan,37.735,140.244,1949,Stratovolcano,2,2,,
1894,10,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,3,10,,
